Pardavėjas,Produktas,Svoris,Kaina
Delona,"Korėjietiški malti čili pipirai ""GOCHUGARU"" 40g",40,1.00
Delona,Korėjietiškų morkų prieskoniai 50 g,50,0.70
Delona,Krapų viršūnėlės 20g,20,0.60
Delona,Kuminas (maltas) 100g,100,1.50
Delona,Kuminas (sėklos) 100g,100,1.50
Delona,Kvapieji pipirai (malti) 100g,100,1.50
Delona,Kvapieji pipirai 100g,100,1.80
Delona,Kvapiosios murėjos (KARIO) lapai 10 g,10,1.00
Delona,Laurų lapai (malti)  40g,40,0.60
Delona,Laurų lapai 16 g,16,0.50
Delona,Mairūnai 18g,18,0.40
Delona,Maltos aitriosios paprikos (čili pipirai) 100g,100,0.90
Delona,Meksikietiškas prieskonių mišinys 100g,100,1.50
Delona,Mėlynžiedė ožragė (UCCHO SUNELI) 100 g,100,3.50
Delona,Meškiniai česnakai 10g,10,0.60
Delona,"Mišinys arbatai  ""MASALA CHAI""  50g",50,1.20
Delona,"Muskato žiedai malti (""macis"") 20g",20,1.20
Delona,Muskatų riešutai (malti) 100g,100,2.60
Delona,Muskatų riešutai 50g,50,2.95
Delona,Muskatų žiedai MACIS (nemalti) 10g,10,1.00
Delona,Natūralūs kaukazietiški prieskoniai 100g,100,1.50
Delona,Ožragių lapeliai  40 g,40,0.80
Delona,Paukštienos prieskoniai be druskos 100g,100,1.50
Delona,Paukštienos prieskoniai su medumi 100g,100,1.80
Delona,Peletrūnai (estragonas) 16 g,16,0.50
Delona,Penkių rūšių pipirų mišinys (skaldytas) 100g,100,2.00
Delona,Petražolės 14g,14,0.35
Delona,Pikantiški bulvių prieskoniai  50g,50,0.80
Delona,Porai (2x4 mm) 20 g,20,0.60
Delona,Prieskoniai faršui 100g,100,1.80
Delona,Prieskoniai graikiškoms salotoms 50g,50,1.50
Delona,Prieskoniai karštam vynui 100g,100,3.50
Delona,Prieskoniai salotoms 50g,50,0.85
Delona,Prieskoniai šonkauliukams 100g,100,1.50
Delona,"Prieskonių mišinys ""ANGLIŠKAS KARIS"" 100g",100,1.50
Delona,"Prieskonių mišinys ""BRUSCHETTA"" 100g",100,2.00
