Pardavėjas,Produktas,Svoris,Kaina
Spaisvilė,Prieskoninių žolelių salotoms,100,1.41
Spaisvilė,Prieskoninių žolelių,100,1.32
Spaisvilė,Paukštienos kebabui,100,1.25
Spaisvilė,Su juodo sezamo sėklomis,100,1.10
Spaisvilė,Žvėrienai,100,1.22
Spaisvilė,Provanso žolelės,100,1.12
Spaisvilė,Puszta,100,1.19
Spaisvilė,Ryžiams,100,1.32
Spaisvilė,Salotoms be druskos,100,1.61
Spaisvilė,Salotoms,100,1.36
Spaisvilė,Salotų žolelės,100,1.69
Spaisvilė,Grybų padažui,100,0.91
Spaisvilė,Duonai,100,0.98
Spaisvilė,Silkės marinavimui,100,0.98
Spaisvilė,Su žolelėmis mėsai,100,1.36
Spaisvilė,Sūrių gardinimui,100,1.08
Spaisvilė,Sviestelis,100,1.40
Spaisvilė,Universalus be druskos,100,1.00
Spaisvilė,Universalus konservavimui,100,0.93
Spaisvilė,Uošvės,100,1.66
Spaisvilė,Uzbekiškam plovui,100,2.20
Spaisvilė,Varškės patiekalams,100,2.02
Spaisvilė,Viduržemio jūros,100,1.20
Spaisvilė,Virtuvės geriausias,100,1.62
Spaisvilė,Žalias žuviai,100,1.25
Spaisvilė,Žolelės su aitriąja paprika,100,1.90
Spaisvilė,Žolelių mišinys žvėrienai,100,1.52
Spaisvilė,Žuviai su krapais,100,1.39
Spaisvilė,"Žuviai ""Švyturio""",100,1.32
Spaisvilė,Žvėrienai be druskos,100,1.76
Spaisvilė,Karis Spaisvilė,100,0.91
Spaisvilė,Karis,100,1.23
Spaisvilė,Kiaulių odelės,100,1.42
Spaisvilė,Grietinėlės,100,2.35
Spaisvilė,Varškės gaminiams ,100,1.13
Spaisvilė,Keptoms bulvytėms,100,1.00
